meta_info,metric_name,metric_value,node,occurrence_time,resource,severity,subject
{},eks.check_load,load1=35.440;64.000;72.000;0; load5=40.550;60.000;68.000;0; load,EKS.containereast1-prod-main.nolayer.ip-172-16-59-222.ec2.internal,2020-02-26 12:53:54,EKS.containereast1-prod-main.nolayer.ip-172-16-59-222.ec2.internal,51,FLAPPINGSTOP - eks.check_load
{},eks.check_load,load1=35.850;64.000;72.000;0; load5=42.990;60.000;68.000;0; load,EKS.containereast1-prod-main.nolayer.ip-172-16-78-62.ec2.internal,2020-02-26 12:54:53,EKS.containereast1-prod-main.nolayer.ip-172-16-78-62.ec2.internal,51,FLAPPINGSTOP - eks.check_load
{},eks.check_load,load1=51.000;64.000;72.000;0; load5=56.040;60.000;68.000;0; load,EKS.containereast1-prod-main.nolayer.ip-172-16-68-144.ec2.internal,2020-02-26 13:02:20,EKS.containereast1-prod-main.nolayer.ip-172-16-68-144.ec2.internal,51,PROBLEM - eks.check_load
{},eks.check_load,load1=33.280;64.000;72.000;0; load5=40.960;60.000;68.000;0; load,EKS.containereast1-prod-main.nolayer.ip-172-16-70-250.ec2.internal,2020-02-26 13:03:12,EKS.containereast1-prod-main.nolayer.ip-172-16-70-250.ec2.internal,51,PROBLEM - eks.check_load
{},eks.check_load,load1=37.950;64.000;72.000;0; load5=50.090;60.000;68.000;0; load,EKS.containereast1-prod-main.nolayer.ip-172-16-198-17.ec2.internal,2020-02-26 13:44:00,EKS.containereast1-prod-main.nolayer.ip-172-16-198-17.ec2.internal,51,PROBLEM - eks.check_load
{},eks.check_load,load1=41.040;64.000;72.000;0; load5=45.660;60.000;68.000;0; load,EKS.containereast1-prod-main.nolayer.ip-172-16-68-144.ec2.internal,2020-02-26 14:05:05,EKS.containereast1-prod-main.nolayer.ip-172-16-68-144.ec2.internal,51,PROBLEM - eks.check_load
{},eks.check_mem,TOTAL=510365;;;; USED=103876;;;; BUFFER/CACHE=6642;;;; AVAILABLE,EKS.containereast1-prod-main.nolayer.ip-172-16-63-213.ec2.internal,2020-02-26 14:46:06,EKS.containereast1-prod-main.nolayer.ip-172-16-63-213.ec2.internal,51,PROBLEM - eks.check_mem
{},eks.check_docker,time=0.000038s;;;0.000000;10.000000,EKS.containereast1-prod-main.nolayer.ip-172-16-63-213.ec2.internal,2020-02-26 14:46:10,EKS.containereast1-prod-main.nolayer.ip-172-16-63-213.ec2.internal,51,PROBLEM - eks.check_docker
{},eks.check_oomkiller,,EKS.containereast1-prod-main.nolayer.ip-172-16-63-213.ec2.internal,2020-02-26 14:46:17,EKS.containereast1-prod-main.nolayer.ip-172-16-63-213.ec2.internal,51,PROBLEM - eks.check_oomkiller
{},eks.check_total_procs,procs=1882;2400;2800;0;,EKS.containereast1-prod-main.nolayer.ip-172-16-63-213.ec2.internal,2020-02-26 14:46:26,EKS.containereast1-prod-main.nolayer.ip-172-16-63-213.ec2.internal,51,PROBLEM - eks.check_total_procs
{},eks.check_disk,/mnt/root=32522MB;358390;383990;0;511987,EKS.containereast1-prod-main.nolayer.ip-172-16-63-213.ec2.internal,2020-02-26 14:46:30,EKS.containereast1-prod-main.nolayer.ip-172-16-63-213.ec2.internal,51,PROBLEM - eks.check_disk
{},opsworks.check_ntp_time,offset=-0.003322s;0.500000;1.000000;,EKS.containereast1-prod-main.nolayer.ip-172-16-63-213.ec2.internal,2020-02-26 14:46:32,EKS.containereast1-prod-main.nolayer.ip-172-16-63-213.ec2.internal,51,PROBLEM - opsworks.check_ntp_time
{},eks.check_users,users=0;5;10;0,EKS.containereast1-prod-main.nolayer.ip-172-16-63-213.ec2.internal,2020-02-26 14:46:37,EKS.containereast1-prod-main.nolayer.ip-172-16-63-213.ec2.internal,51,PROBLEM - eks.check_users
{},eks.check_zombie_procs,procs=0;5;10;0;,EKS.containereast1-prod-main.nolayer.ip-172-16-63-213.ec2.internal,2020-02-26 14:47:35,EKS.containereast1-prod-main.nolayer.ip-172-16-63-213.ec2.internal,51,PROBLEM - eks.check_zombie_procs
{},eks.check_dockerd_process,procs=1;;1:1;0;,EKS.containereast1-prod-main.nolayer.ip-172-16-63-213.ec2.internal,2020-02-26 14:49:30,EKS.containereast1-prod-main.nolayer.ip-172-16-63-213.ec2.internal,51,RECOVERY - eks.check_dockerd_process
{},eks.check_disk,/mnt/root=15170MB;358390;383990;0;511987,EKS.containereast1-prod-main.nolayer.ip-172-16-70-250.ec2.internal,2020-02-26 15:32:03,EKS.containereast1-prod-main.nolayer.ip-172-16-70-250.ec2.internal,51,PROBLEM - eks.check_disk
{},eks.check_load,load1=30.880;64.000;72.000;0; load5=34.470;60.000;68.000;0; load,EKS.containereast1-prod-main.nolayer.ip-172-16-198-17.ec2.internal,2020-02-26 16:08:04,EKS.containereast1-prod-main.nolayer.ip-172-16-198-17.ec2.internal,51,FLAPPINGSTOP - eks.check_load
{},opsworks.check_ntp_time,offset=-0.005011s;0.500000;1.000000;,EKS.containereast1-prod-main.nolayer.ip-172-16-70-250.ec2.internal,2020-02-26 16:22:26,EKS.containereast1-prod-main.nolayer.ip-172-16-70-250.ec2.internal,51,PROBLEM - opsworks.check_ntp_time
{},eks.check_load,load1=40.610;64.000;72.000;0; load5=44.180;60.000;68.000;0; load,EKS.containereast1-prod-main.nolayer.ip-172-16-65-15.ec2.internal,2020-02-26 17:12:44,EKS.containereast1-prod-main.nolayer.ip-172-16-65-15.ec2.internal,51,PROBLEM - eks.check_load
{},eks.check_load,load1=41.130;64.000;72.000;0; load5=44.380;60.000;68.000;0; load,EKS.containereast1-prod-main.nolayer.ip-172-16-77-69.ec2.internal,2020-02-26 17:36:51,EKS.containereast1-prod-main.nolayer.ip-172-16-77-69.ec2.internal,51,PROBLEM - eks.check_load
{},eks.check_load,load1=38.070;64.000;72.000;0; load5=44.130;60.000;68.000;0; load,EKS.containereast1-prod-main.nolayer.ip-172-16-66-100.ec2.internal,2020-02-26 17:49:26,EKS.containereast1-prod-main.nolayer.ip-172-16-66-100.ec2.internal,51,PROBLEM - eks.check_load
{},eks.check_load,load1=51.540;64.000;72.000;0; load5=48.860;60.000;68.000;0; load,EKS.containereast1-prod-main.nolayer.ip-172-16-78-119.ec2.internal,2020-02-26 17:54:57,EKS.containereast1-prod-main.nolayer.ip-172-16-78-119.ec2.internal,51,PROBLEM - eks.check_load
{},eks.check_load,load1=49.970;64.000;72.000;0; load5=49.120;60.000;68.000;0; load,EKS.containereast1-prod-main.nolayer.ip-172-16-62-73.ec2.internal,2020-02-26 17:57:35,EKS.containereast1-prod-main.nolayer.ip-172-16-62-73.ec2.internal,51,PROBLEM - eks.check_load
{},eks.check_load,load1=42.990;64.000;72.000;0; load5=49.610;60.000;68.000;0; load,EKS.containereast1-prod-main.nolayer.ip-172-16-58-188.ec2.internal,2020-02-26 18:10:39,EKS.containereast1-prod-main.nolayer.ip-172-16-58-188.ec2.internal,51,PROBLEM - eks.check_load
{},eks.check_load,load1=53.720;64.000;72.000;0; load5=51.240;60.000;68.000;0; load,EKS.containereast1-prod-main.nolayer.ip-172-16-63-213.ec2.internal,2020-02-26 18:26:44,EKS.containereast1-prod-main.nolayer.ip-172-16-63-213.ec2.internal,51,PROBLEM - eks.check_load
{},eks.check_load,load1=39.020;64.000;72.000;0; load5=37.860;60.000;68.000;0; load,EKS.containereast1-prod-main.nolayer.ip-172-16-65-15.ec2.internal,2020-02-26 18:37:46,EKS.containereast1-prod-main.nolayer.ip-172-16-65-15.ec2.internal,51,FLAPPINGSTOP - eks.check_load
{},eks.check_load,load1=39.550;64.000;72.000;0; load5=52.660;60.000;68.000;0; load,EKS.containereast1-prod-main.nolayer.ip-172-16-68-144.ec2.internal,2020-02-26 18:45:04,EKS.containereast1-prod-main.nolayer.ip-172-16-68-144.ec2.internal,51,PROBLEM - eks.check_load
{},eks.check_load,load1=34.680;64.000;72.000;0; load5=42.570;60.000;68.000;0; load,EKS.containereast1-prod-main.nolayer.ip-172-16-62-73.ec2.internal,2020-02-26 18:59:38,EKS.containereast1-prod-main.nolayer.ip-172-16-62-73.ec2.internal,51,PROBLEM - eks.check_load
{},eks.check_load,load1=44.790;64.000;72.000;0; load5=47.030;60.000;68.000;0; load,EKS.containereast1-prod-main.nolayer.ip-172-16-78-119.ec2.internal,2020-02-26 19:02:59,EKS.containereast1-prod-main.nolayer.ip-172-16-78-119.ec2.internal,51,FLAPPINGSTOP - eks.check_load
{},eks.check_load,load1=50.450;64.000;72.000;0; load5=44.620;60.000;68.000;0; load,EKS.containereast1-prod-main.nolayer.ip-172-16-76-140.ec2.internal,2020-02-26 19:05:35,EKS.containereast1-prod-main.nolayer.ip-172-16-76-140.ec2.internal,51,PROBLEM - eks.check_load
{},eks.check_load,load1=33.610;64.000;72.000;0; load5=41.850;60.000;68.000;0; load,EKS.containereast1-prod-main.nolayer.ip-172-16-70-250.ec2.internal,2020-02-26 19:19:58,EKS.containereast1-prod-main.nolayer.ip-172-16-70-250.ec2.internal,51,PROBLEM - eks.check_load
{},eks.check_load,load1=46.410;64.000;72.000;0; load5=50.060;60.000;68.000;0; load,EKS.containereast1-prod-main.nolayer.ip-172-16-58-188.ec2.internal,2020-02-26 19:24:40,EKS.containereast1-prod-main.nolayer.ip-172-16-58-188.ec2.internal,51,PROBLEM - eks.check_load
{},eks.check_load,load1=41.340;64.000;72.000;0; load5=52.020;60.000;68.000;0; load,EKS.containereast1-prod-main.nolayer.ip-172-16-65-15.ec2.internal,2020-02-26 19:27:47,EKS.containereast1-prod-main.nolayer.ip-172-16-65-15.ec2.internal,51,PROBLEM - eks.check_load
{},eks.check_load,load1=31.970;64.000;72.000;0; load5=31.330;60.000;68.000;0; load,EKS.containereast1-prod-main.nolayer.ip-172-16-68-144.ec2.internal,2020-02-26 19:29:06,EKS.containereast1-prod-main.nolayer.ip-172-16-68-144.ec2.internal,51,FLAPPINGSTOP - eks.check_load
{},eks.check_load,load1=44.930;64.000;72.000;0; load5=48.720;60.000;68.000;0; load,EKS.containereast1-prod-main.nolayer.ip-172-16-74-29.ec2.internal,2020-02-26 19:53:14,EKS.containereast1-prod-main.nolayer.ip-172-16-74-29.ec2.internal,51,PROBLEM - eks.check_load
{},eks.check_load,load1=45.580;64.000;72.000;0; load5=58.050;60.000;68.000;0; load,EKS.containereast1-prod-main.nolayer.ip-172-16-66-100.ec2.internal,2020-02-26 20:07:28,EKS.containereast1-prod-main.nolayer.ip-172-16-66-100.ec2.internal,51,PROBLEM - eks.check_load
{},eks.check_load,load1=33.520;64.000;72.000;0; load5=50.630;60.000;68.000;0; load,EKS.containereast1-prod-main.nolayer.ip-172-16-78-62.ec2.internal,2020-02-26 20:10:58,EKS.containereast1-prod-main.nolayer.ip-172-16-78-62.ec2.internal,51,FLAPPINGSTOP - eks.check_load
{},eks.check_load,load1=40.650;64.000;72.000;0; load5=59.620;60.000;68.000;0; load,EKS.containereast1-prod-main.nolayer.ip-172-16-70-250.ec2.internal,2020-02-26 20:21:52,EKS.containereast1-prod-main.nolayer.ip-172-16-70-250.ec2.internal,51,PROBLEM - eks.check_load
{},eks.check_load,load1=54.250;64.000;72.000;0; load5=55.960;60.000;68.000;0; load,EKS.containereast1-prod-main.nolayer.ip-172-16-68-144.ec2.internal,2020-02-26 20:29:04,EKS.containereast1-prod-main.nolayer.ip-172-16-68-144.ec2.internal,51,PROBLEM - eks.check_load
{},eks.check_load,load1=38.840;64.000;72.000;0; load5=48.640;60.000;68.000;0; load,EKS.containereast1-prod-main.nolayer.ip-172-16-62-73.ec2.internal,2020-02-26 20:43:38,EKS.containereast1-prod-main.nolayer.ip-172-16-62-73.ec2.internal,51,PROBLEM - eks.check_load
{},eks.check_load,load1=49.740;64.000;72.000;0; load5=48.770;60.000;68.000;0; load,EKS.containereast1-prod-main.nolayer.ip-172-16-74-29.ec2.internal,2020-02-26 20:47:16,EKS.containereast1-prod-main.nolayer.ip-172-16-74-29.ec2.internal,51,FLAPPINGSTOP - eks.check_load
{},eks.check_load,load1=38.380;64.000;72.000;0; load5=43.780;60.000;68.000;0; load,EKS.containereast1-prod-main.nolayer.ip-172-16-58-188.ec2.internal,2020-02-26 20:48:41,EKS.containereast1-prod-main.nolayer.ip-172-16-58-188.ec2.internal,51,PROBLEM - eks.check_load
{},eks.check_load,load1=46.480;64.000;72.000;0; load5=56.140;60.000;68.000;0; load,EKS.containereast1-prod-main.nolayer.ip-172-16-65-15.ec2.internal,2020-02-26 21:11:47,EKS.containereast1-prod-main.nolayer.ip-172-16-65-15.ec2.internal,51,PROBLEM - eks.check_load
{},eks.check_load,load1=41.330;64.000;72.000;0; load5=47.340;60.000;68.000;0; load,EKS.containereast1-prod-main.nolayer.ip-172-16-59-222.ec2.internal,2020-02-26 21:23:28,EKS.containereast1-prod-main.nolayer.ip-172-16-59-222.ec2.internal,51,PROBLEM - eks.check_load
{},eks.check_load,load1=32.830;64.000;72.000;0; load5=40.570;60.000;68.000;0; load,EKS.containereast1-prod-main.nolayer.ip-172-16-77-69.ec2.internal,2020-02-26 21:23:52,EKS.containereast1-prod-main.nolayer.ip-172-16-77-69.ec2.internal,51,PROBLEM - eks.check_load
{},eks.check_load,load1=47.560;64.000;72.000;0; load5=56.980;60.000;68.000;0; load,EKS.containereast1-prod-main.nolayer.ip-172-16-78-119.ec2.internal,2020-02-26 21:29:59,EKS.containereast1-prod-main.nolayer.ip-172-16-78-119.ec2.internal,51,PROBLEM - eks.check_load
{},eks.check_load,load1=51.770;64.000;72.000;0; load5=58.930;60.000;68.000;0; load,EKS.containereast1-prod-main.nolayer.ip-172-16-78-62.ec2.internal,2020-02-26 21:30:58,EKS.containereast1-prod-main.nolayer.ip-172-16-78-62.ec2.internal,51,PROBLEM - eks.check_load
{},eks.check_load,load1=44.860;64.000;72.000;0; load5=55.740;60.000;68.000;0; load,EKS.containereast1-prod-main.nolayer.ip-172-16-78-62.ec2.internal,2020-02-26 22:20:59,EKS.containereast1-prod-main.nolayer.ip-172-16-78-62.ec2.internal,51,PROBLEM - eks.check_load
